Time [s],Light,USB,TMP36 [C],TC [C],Batt [V]
59.2,50.06,4.0091,24.75,25.0,4.1445
59.25,50.06,4.0028,24.67,25.0,4.1429
59.29,50.09,4.0028,24.43,25.0,4.1461
59.33,49.99,4.0059,24.83,25.0,4.1445
59.37,50.09,4.0012,24.83,25.0,4.1492
59.42,50.04,3.9836,24.91,25.0,4.1445
59.46,49.99,4.0012,24.67,25.0,4.1461
59.5,49.84,4.0043,24.51,25.0,4.1461
59.55,49.72,3.998,24.75,25.0,4.1461
59.59,49.69,3.9996,24.83,25.0,4.1492
59.63,49.65,4.0028,24.67,25.0,4.1461
59.67,49.77,4.0043,24.59,25.0,4.1524
59.71,49.69,4.0091,24.83,25.0,4.154
59.76,49.65,3.998,24.67,25.0,4.1429
59.8,49.6,3.9836,24.59,25.0,4.1476
59.85,49.72,4.0059,24.75,25.0,4.1492
59.89,49.67,3.998,24.91,25.0,4.1461
59.93,49.6,4.0059,24.59,25.0,4.1429
59.97,49.57,3.9996,24.59,25.0,4.1508
60.01,49.57,4.0075,24.43,25.0,4.1461
60.06,49.6,4.0091,24.59,25.0,4.1524
60.1,49.57,4.0028,24.91,25.0,4.1492
60.14,49.57,4.0043,24.75,25.0,4.1461
60.19,49.67,3.9836,24.59,25.0,4.1476
60.23,49.6,4.0028,24.67,25.0,4.1445
60.27,49.57,4.0075,24.43,25.0,4.1461
60.31,49.62,4.0012,24.75,25.0,4.1476
60.36,49.65,4.0028,24.59,25.0,4.1508
60.4,49.62,3.9996,24.59,25.0,4.1461
60.44,49.55,4.0107,24.67,25.0,4.1492
60.48,49.57,4.0075,24.83,25.0,4.1445
60.52,49.55,4.0091,24.75,25.0,4.1492
60.57,49.45,3.9805,24.43,25.0,4.1476
60.61,49.47,3.998,24.75,25.0,4.1461
60.66,49.43,4.0012,24.59,25.0,4.1461
60.7,49.43,4.0028,24.51,25.0,4.1461
60.74,49.55,4.0028,24.59,25.0,4.1508
60.78,49.45,4.0028,24.75,25.0,4.1461
60.82,49.5,4.0012,24.75,25.0,4.1476
60.87,49.4,4.0043,24.75,25.0,4.1476
60.91,49.4,4.0028,24.75,25.0,4.1492
60.96,49.38,3.998,24.99,25.0,4.1445
61.0,49.47,3.9789,24.51,25.0,4.1476
61.04,49.5,3.9996,24.67,25.0,4.1476
61.08,49.4,4.0059,24.75,25.0,4.1476
61.12,49.35,4.0043,24.75,25.0,4.1429
61.17,49.21,4.0059,24.59,25.0,4.1461
61.21,49.33,4.0075,24.59,25.0,4.1461
61.25,49.21,4.0028,24.51,25.0,4.1476
61.29,49.33,3.9996,24.51,25.0,4.1492
61.34,49.21,4.0075,24.51,25.0,4.1413
61.4,49.3,3.9805,24.43,25.0,4.1429
61.45,49.33,3.9821,24.75,25.0,4.1445
61.49,49.26,3.9836,24.75,25.0,4.1461
61.53,49.26,3.9852,24.67,25.0,4.1508
61.57,49.23,3.9789,24.51,25.0,4.1413
61.61,49.11,3.9836,24.75,25.0,4.1461
61.66,49.18,3.9805,24.75,25.0,4.1476
61.7,49.13,3.9805,24.59,25.0,4.1429
61.74,49.11,3.9773,24.59,25.0,4.1461
61.79,49.13,3.9821,24.59,25.0,4.1492
61.83,49.16,4.0028,24.59,25.0,4.1508
61.87,49.23,4.0059,24.99,25.0,4.1445
61.91,49.21,3.9996,24.75,25.0,4.1445
61.96,49.23,4.0028,24.67,25.0,4.1492
62.0,49.23,4.0075,24.59,25.0,4.1445
62.04,49.23,4.0028,24.67,25.0,4.1492
62.08,49.26,4.0043,24.67,25.0,4.1429
62.12,49.26,4.0028,24.75,25.0,4.1413
62.17,49.28,3.9789,24.59,25.0,4.1461
62.22,49.28,4.0075,24.43,25.0,4.1461
62.26,49.28,4.0043,24.67,25.0,4.1492
62.3,49.33,4.0043,24.59,25.0,4.1492
62.34,49.35,4.0075,24.83,25.0,4.1476
62.38,49.33,4.0059,24.51,25.0,4.1461
62.43,49.33,3.9996,24.75,25.0,4.1445
62.47,49.28,4.0028,24.59,25.0,4.1508
62.51,49.3,3.9996,24.75,25.0,4.1429
62.56,49.33,3.9805,24.67,25.0,4.1492
62.6,49.28,3.9964,24.51,25.0,4.1508
62.64,49.28,4.0028,24.75,25.0,4.1476
62.68,49.23,3.9996,24.43,25.0,4.1476
62.72,49.16,3.9964,24.59,25.0,4.1461
62.77,49.11,4.0028,24.43,25.0,4.1445
62.81,49.11,4.0059,24.59,25.0,4.1508
62.85,49.16,4.0028,24.59,25.0,4.1476
62.89,49.08,4.0043,24.75,25.0,4.1429
62.94,49.21,3.9805,24.51,25.0,4.1445
62.98,49.26,4.0043,24.75,25.0,4.1476
63.02,49.23,3.9996,24.99,25.0,4.1429
63.07,49.13,4.0059,24.51,25.0,4.1476
63.11,49.18,4.0028,24.99,25.0,4.1476
63.15,49.04,4.0075,24.67,25.0,4.1445
63.19,48.99,4.0075,25.07,25.0,4.1492
63.23,48.99,4.0028,24.75,25.0,4.1508
63.28,48.94,4.0059,24.67,25.0,4.1476
63.32,48.96,3.9789,24.59,25.0,4.1461
63.37,49.04,4.0075,24.83,25.0,4.1476
63.41,49.06,4.0059,24.59,25.0,4.1445
63.45,48.91,4.0091,24.75,25.0,4.1429
63.49,48.91,4.0028,24.59,25.0,4.1461
63.53,48.86,4.0075,24.51,25.0,4.1476
63.58,48.77,4.0028,24.67,25.0,4.1492
63.62,48.67,3.9996,24.51,25.0,4.1492
63.66,48.82,4.0043,24.43,25.0,4.1492
63.71,48.89,4.0028,24.67,25.0,4.1429
63.75,49.06,3.9773,24.75,25.0,4.1476
63.79,49.16,3.9996,24.36,25.0,4.1461
63.83,49.23,4.0043,24.75,25.0,4.1461
63.88,49.21,4.0059,24.59,25.0,4.1461
63.92,49.26,4.0043,24.67,25.0,4.1476
63.96,49.13,4.0043,24.59,25.0,4.1429
64.0,49.33,4.0043,24.75,25.0,4.1461
64.04,49.35,4.0012,24.75,25.0,4.1476
64.09,49.43,4.0091,24.75,25.0,4.1461
64.13,49.47,3.9868,24.51,25.0,4.1476
64.18,49.45,4.0043,24.59,25.0,4.1476
64.22,49.47,4.0043,24.43,25.0,4.1429
64.26,49.47,4.0091,24.59,25.0,4.1492
64.3,49.5,4.0075,24.59,25.0,4.1413
64.34,49.5,3.998,24.75,25.0,4.1476
64.39,49.55,4.0059,24.67,25.0,4.1508
64.43,49.55,4.0028,24.75,25.1,4.1476
64.47,49.52,4.0091,24.59,25.0,4.1476
64.52,49.57,3.9789,24.67,25.0,4.1461
64.56,49.6,4.0012,24.83,25.0,4.1492
64.6,49.67,4.0043,24.59,25.0,4.1492
64.64,49.69,4.0012,24.51,25.0,4.1492
64.69,49.77,4.0028,24.83,25.0,4.1476
64.73,49.82,4.0012,24.51,25.0,4.1461
64.77,49.74,4.0012,24.67,25.0,4.1445
64.81,49.84,4.0059,24.67,25.0,4.1461
64.85,49.74,3.9964,24.67,25.0,4.1445
64.9,49.87,3.9836,24.59,25.0,4.1461
64.94,49.79,4.0028,24.83,25.0,4.1461
64.99,49.77,3.9964,24.67,25.1,4.1508
65.03,49.84,4.0043,24.75,25.1,4.1461
65.07,49.79,4.0012,24.59,25.0,4.1508
65.11,49.87,4.0091,24.36,25.0,4.1492
65.15,49.87,4.0059,24.59,25.0,4.1461
65.2,49.82,4.0075,24.83,25.0,4.1445
65.24,49.77,4.0059,24.59,25.1,4.1476
65.29,49.79,3.9821,24.75,25.0,4.154
65.33,49.84,4.0028,24.51,25.1,4.1476
65.37,49.82,4.0091,24.59,25.1,4.1492
65.43,49.77,3.9741,24.28,25.0,4.1461
65.48,49.84,3.9805,24.59,25.0,4.1476
65.52,49.72,3.9836,24.67,25.0,4.1492
65.56,49.74,3.9836,24.59,25.1,4.1476
65.6,49.77,3.9805,24.51,25.0,4.1476
65.64,49.82,3.9789,24.75,25.1,4.1445
65.69,49.74,3.9836,24.75,25.0,4.1476
65.73,49.72,3.9996,24.67,25.1,4.1492
65.78,49.87,4.0012,24.75,25.0,4.1524
65.82,49.77,4.0043,24.67,25.0,4.1445
65.86,49.79,4.0043,24.51,25.1,4.1492
65.9,49.82,4.0059,24.83,25.1,4.1445
65.94,49.87,4.0043,24.59,25.1,4.1445
65.99,49.87,3.9996,24.51,25.1,4.1508
66.03,49.82,4.0059,24.75,25.1,4.1445
66.08,49.89,3.9805,24.04,25.0,4.1461
66.12,49.87,4.0028,24.59,25.1,4.1508
66.16,49.89,4.0043,24.67,25.1,4.1461
66.2,49.89,3.9996,24.67,25.1,4.1476
66.25,49.94,4.0059,24.51,25.1,4.1476
66.29,49.99,4.0075,24.59,25.0,4.1461
66.33,49.91,3.998,24.67,25.1,4.1429
66.37,49.87,4.0043,24.43,25.0,4.1461
66.41,49.99,4.0091,24.75,25.1,4.1476
66.46,49.99,4.0107,24.75,25.1,4.1429
66.5,50.01,3.9773,24.75,25.0,4.1492
66.55,49.99,4.0043,24.36,25.1,4.1476
66.59,50.09,3.9996,24.51,25.1,4.1508
66.63,49.96,4.0059,24.59,25.1,4.1508
66.67,49.96,3.998,24.75,25.1,4.1524
66.71,49.84,4.0059,24.75,25.1,4.1461
66.76,49.82,4.0043,24.43,25.1,4.1476
66.8,49.96,4.0091,24.67,25.1,4.1461
66.85,50.11,3.9996,24.43,25.1,4.1413
66.89,50.11,3.9868,24.67,25.1,4.1476
66.93,50.18,4.0012,24.75,25.0,4.1445
66.97,50.18,4.0028,24.91,25.1,4.1476
67.01,50.18,3.998,24.36,25.1,4.1492
67.06,50.09,4.0139,24.59,25.0,4.1508
67.1,50.16,4.0043,24.67,25.1,4.1492
67.14,50.21,3.998,24.36,25.1,4.1476
67.18,50.18,4.0043,24.51,25.1,4.1461
67.22,50.18,4.0028,24.51,25.1,4.1429
67.27,50.18,3.9757,24.67,25.1,4.1476
67.31,50.16,4.0059,24.43,25.1,4.1476
67.36,50.23,4.0075,24.91,25.1,4.1476
67.4,50.11,4.0075,24.67,25.1,4.1476
67.44,50.13,4.0043,24.67,25.0,4.1461
67.48,50.11,4.0059,24.28,25.1,4.1476
67.52,50.16,4.0028,24.51,25.1,4.1461
67.57,50.09,4.0028,24.91,25.1,4.1492
67.61,50.04,4.0028,24.51,25.1,4.1476
67.66,50.13,3.9836,24.59,25.1,4.1461
67.7,50.04,4.0028,24.43,25.1,4.1476
67.74,50.13,4.0107,24.59,25.1,4.1508
67.78,50.16,4.0043,24.59,25.1,4.1445
67.82,50.16,4.0043,24.59,25.1,4.1429
67.87,50.18,4.0012,24.59,25.1,4.1508
67.91,50.16,4.0059,24.67,25.1,4.1508
67.95,50.28,3.998,24.43,25.1,4.1461
67.99,50.23,3.998,24.51,25.1,4.1461
68.04,50.35,3.9836,24.59,25.1,4.1476
68.08,50.18,4.0043,24.59,25.1,4.1461
68.12,50.28,4.0059,24.51,25.1,4.1524
68.17,50.33,4.0123,24.51,25.1,4.1429
68.21,50.33,3.9996,24.67,25.1,4.1461
68.25,50.31,4.0028,24.43,25.1,4.1445
68.29,50.28,4.0012,24.75,25.1,4.1476
68.33,50.4,4.0075,24.59,25.1,4.1461
68.38,50.26,4.0075,24.67,25.1,4.1429
68.42,50.33,3.9821,24.75,25.1,4.1508
68.46,50.35,4.0075,24.67,25.1,4.1461
68.51,50.35,4.0075,24.59,25.1,4.1476
68.55,50.31,4.0012,24.43,25.1,4.1429
68.59,50.35,3.998,24.43,25.1,4.1492
68.63,50.33,4.0043,24.59,25.1,4.1476
68.67,50.31,3.998,24.75,25.1,4.1445
68.72,50.33,4.0043,24.83,25.1,4.1461
68.76,50.23,4.0059,24.51,25.1,4.1508
68.81,50.33,3.9836,24.36,25.1,4.1461
68.85,50.28,4.0028,24.59,25.1,4.1508
68.89,50.18,4.0043,24.51,25.1,4.1492
68.93,49.87,3.9964,24.51,25.1,4.1476
68.97,49.69,4.0043,24.43,25.1,4.1508
69.02,49.57,4.0012,24.36,25.1,4.1429
69.06,49.16,4.0091,24.59,25.1,4.1461
69.1,48.35,4.0028,24.75,25.1,4.1461
69.14,47.33,3.998,24.59,25.1,4.1476
69.19,46.08,4.0012,24.67,25.1,4.1445
69.23,45.32,3.9805,24.43,25.1,4.1492
69.27,45.05,4.0075,24.51,25.1,4.1524
69.32,44.96,4.0028,24.67,25.1,4.1508
69.36,44.71,3.9964,24.59,25.1,4.1461
69.4,44.3,4.0043,24.67,25.1,4.1476
69.46,43.74,3.9805,24.04,25.1,4.1429
69.51,43.39,3.9805,24.51,25.1,4.1429
69.55,43.27,3.9868,24.51,25.1,4.1461
69.6,43.17,3.9805,24.59,25.1,4.1429
69.64,43.0,3.9821,24.51,25.1,4.154
69.68,42.95,4.0075,24.43,25.1,4.1476
69.72,42.78,4.0075,24.67,25.1,4.1461
69.76,42.83,4.0012,24.67,25.1,4.1508
69.81,42.91,4.0028,24.43,25.1,4.1445
69.85,42.78,4.0059,24.67,25.1,4.1445
69.89,42.71,3.9964,24.36,25.1,4.1492
69.93,42.59,4.0075,24.59,25.1,4.1476
69.97,42.61,4.0091,24.59,25.1,4.1429
70.02,42.42,3.9757,24.59,25.1,4.1476
70.06,42.49,4.0075,24.59,25.1,4.1492
70.11,42.39,4.0059,24.51,25.1,4.1429
70.15,42.44,4.0059,24.43,25.1,4.1461
70.19,42.39,4.0091,24.43,25.1,4.1492
70.23,42.44,4.0107,24.43,25.1,4.1492
70.27,42.52,4.0012,24.51,25.1,4.1492
70.32,42.39,4.0028,24.59,25.1,4.1461
70.36,42.54,4.0059,24.59,25.1,4.1476
70.41,42.54,3.9852,24.43,25.1,4.1476
70.45,42.61,4.0059,24.67,25.1,4.1445
70.49,42.61,4.0107,24.75,25.1,4.1429
70.53,42.71,4.0075,24.59,25.1,4.1492
70.57,42.71,4.0075,24.51,25.1,4.1476
70.62,42.76,4.0028,24.67,25.1,4.1429
70.66,42.81,4.0012,24.51,25.1,4.1445
70.7,42.93,3.9996,24.59,25.1,4.1508
70.74,42.98,4.0043,24.59,25.1,4.1429
70.79,43.08,3.9805,24.43,25.1,4.1461
70.83,43.03,3.9964,24.51,25.1,4.1461
70.87,43.05,4.0043,24.43,25.1,4.1461
70.92,43.05,3.998,24.43,25.1,4.1429
70.96,43.08,3.9996,24.51,25.1,4.1508
71.0,42.98,4.0043,24.43,25.1,4.1429
71.04,42.98,4.0043,24.43,25.1,4.1476
71.08,43.0,3.9996,24.75,25.1,4.1476
71.13,43.0,4.0028,24.36,25.1,4.1461
71.17,43.08,3.9789,24.67,25.1,4.1476
71.22,43.1,3.9996,24.51,25.1,4.1461
71.26,43.15,4.0028,24.51,25.1,4.1461
71.3,43.22,4.0059,24.43,25.1,4.1508
71.34,43.3,4.0091,24.75,25.1,4.1476
71.38,43.44,4.0028,24.43,25.1,4.1445
71.43,43.69,4.0028,24.67,25.1,4.1476
71.47,43.57,4.0028,24.51,25.1,4.1476
71.51,43.2,4.0075,24.67,25.1,4.1476
71.56,43.08,3.9789,24.2,25.1,4.1445
71.6,43.08,4.0107,24.59,25.1,4.1461
71.64,42.88,4.0012,24.59,25.1,4.1461
71.68,42.66,4.0059,24.43,25.1,4.1508
71.73,42.32,4.0028,24.59,25.1,4.1461
71.77,41.95,4.0059,24.59,25.1,4.1429
71.81,41.73,4.0059,24.67,25.1,4.1476
71.85,42.0,4.0075,24.67,25.1,4.1476
71.89,43.03,3.9948,24.59,25.1,4.1445
71.94,44.2,4.0012,24.67,25.1,4.1476
71.98,45.79,3.9789,24.75,25.1,4.1476
72.03,46.76,4.0075,24.51,25.1,4.1476
72.07,47.47,4.0059,24.36,25.1,4.1445
72.11,48.03,3.9996,24.75,25.1,4.1461
72.15,48.33,4.0028,24.59,25.1,4.1429
72.19,48.67,4.0043,24.36,25.1,4.1461
72.24,48.82,4.0028,24.51,25.1,4.1508
72.28,48.89,4.0028,24.59,25.1,4.1476
72.33,49.11,4.0012,24.51,25.1,4.1461
72.37,49.21,3.9805,24.43,25.1,4.1445
72.41,49.21,4.0043,24.51,25.1,4.1492
72.45,49.28,4.0091,24.36,25.1,4.1476
72.49,49.43,4.0059,24.59,25.1,4.1476
72.54,49.5,3.9996,24.36,25.1,4.1461
72.58,49.52,4.0091,24.43,25.1,4.1461
72.62,49.57,4.0043,24.75,25.1,4.1476
72.66,49.6,4.0012,24.67,25.1,4.1476
72.7,49.55,3.9996,24.36,25.1,4.1429
72.75,49.62,3.9789,24.59,25.1,4.1492
72.79,49.57,4.0075,24.51,25.1,4.1461
72.84,49.55,4.0012,24.51,25.1,4.1476
72.88,49.6,3.9964,24.51,25.1,4.1461
72.92,49.65,3.998,24.43,25.1,4.1461
72.96,49.57,4.0028,24.75,25.1,4.1508
73.0,49.5,3.998,24.59,25.1,4.1461
73.05,49.55,4.0028,24.36,25.1,4.1445
73.09,49.52,4.0043,24.51,25.1,4.1445
73.14,49.45,3.9805,24.59,25.1,4.1492
73.18,49.43,4.0059,24.59,25.1,4.154
73.22,49.35,4.0028,24.67,25.1,4.1461
73.26,49.35,4.0059,24.59,25.1,4.1445
73.3,49.4,4.0059,24.51,25.1,4.1445
73.35,49.28,4.0059,24.43,25.1,4.1461
73.39,49.33,4.0028,24.51,25.1,4.1461
73.43,49.3,4.0059,24.59,25.1,4.1476
73.49,49.23,3.9805,24.28,25.1,4.1492
73.54,49.21,3.9852,24.36,25.1,4.1461
73.58,49.11,3.9996,24.75,25.1,4.1492
73.63,49.13,4.0059,24.43,25.1,4.1492
73.67,49.11,4.0028,24.59,25.1,4.1476
73.71,49.11,4.0059,24.59,25.1,4.1476
73.75,49.18,3.998,24.67,25.1,4.1413
73.79,49.18,3.998,24.51,25.1,4.1461
73.84,49.08,3.9996,24.59,25.1,4.1445
73.88,49.13,4.0059,24.51,25.1,4.1413
73.93,49.16,3.9789,24.43,25.1,4.1445
73.97,49.08,4.0028,24.51,25.1,4.1445
74.01,49.08,3.9964,24.43,25.1,4.1492
74.05,49.08,4.0012,24.67,25.1,4.1508
74.1,48.86,4.0043,24.59,25.1,4.1445
74.14,48.84,4.0059,24.43,25.1,4.1492
74.18,48.67,3.998,24.51,25.1,4.1476
74.22,48.62,4.0075,24.83,25.1,4.1476
74.26,48.4,4.0028,24.75,25.1,4.1508
74.31,48.21,3.9821,24.36,25.1,4.1461
74.35,47.74,4.0043,24.43,25.1,4.1492
74.4,47.28,4.0043,24.43,25.1,4.1445
74.44,46.94,4.0075,24.59,25.1,4.1445
74.48,47.11,4.0091,24.67,25.1,4.1476
74.52,47.03,4.0043,24.51,25.1,4.1445
74.56,47.01,4.0091,24.43,25.1,4.1476
74.61,46.91,4.0107,24.67,25.1,4.1461
74.65,46.74,3.998,24.36,25.1,4.1476
74.7,46.52,4.0059,24.51,25.1,4.1397
74.74,46.2,3.9836,24.67,25.1,4.1476
74.78,45.98,4.0012,24.51,25.1,4.1476
74.82,45.74,4.0012,24.75,25.1,4.1492
74.86,45.37,4.0028,24.28,25.1,4.1508
74.9,45.13,4.0091,24.59,25.1,4.1445
74.95,44.86,4.0028,24.51,25.1,4.1476
74.99,44.59,4.0075,24.59,25.1,4.1492
75.03,44.4,3.9996,24.59,25.1,4.1476
75.08,44.1,4.0107,24.51,25.1,4.1429
75.12,43.79,3.9789,24.28,25.1,4.1461
75.16,43.47,4.0075,24.36,25.1,4.1492
75.2,43.2,4.0091,24.59,25.1,4.1476
75.25,42.95,4.0028,24.36,25.1,4.1445
75.29,42.81,4.0075,24.51,25.1,4.1476
75.33,42.69,4.0075,24.59,25.1,4.1476
75.37,42.56,4.0028,24.36,25.1,4.1508
75.41,42.54,4.0075,24.51,25.1,4.1476
75.46,42.64,4.0075,24.59,25.1,4.1413
75.5,42.59,3.9852,24.28,25.1,4.1461
75.55,42.66,3.998,24.59,25.1,4.1445
75.59,42.61,4.0043,24.75,25.1,4.1476
75.63,42.66,4.0043,24.67,25.1,4.1476
75.67,42.66,4.0028,24.43,25.1,4.1445
75.71,42.71,4.0075,24.59,25.1,4.1492
75.76,42.69,4.0059,24.43,25.1,4.1445
75.8,42.64,4.0028,24.67,25.1,4.1381
75.84,42.71,3.998,24.59,25.1,4.1445
75.89,42.81,3.9773,24.28,25.1,4.1429
75.93,42.78,4.0012,24.36,25.1,4.1445
75.97,42.76,3.9964,24.2,25.1,4.1445
76.01,42.64,4.0043,24.51,25.1,4.1476
76.06,42.66,4.0075,24.51,25.1,4.1461
76.1,42.61,4.0028,24.59,25.1,4.1397
76.14,42.64,4.0059,24.43,25.1,4.1461
76.18,42.56,4.0075,24.36,25.1,4.1508
76.22,42.42,4.0028,24.43,25.1,4.1461
76.27,42.3,3.9805,24.51,25.1,4.1461
76.31,42.2,4.0091,24.59,25.1,4.1476
76.36,42.2,4.0043,24.2,25.1,4.1476
76.4,42.2,4.0059,24.43,25.1,4.1429
76.44,42.22,4.0059,24.67,25.1,4.1476
76.48,42.25,4.0059,24.51,25.1,4.1461
76.52,42.25,4.0059,24.43,25.1,4.1476
76.57,42.25,4.0091,24.51,25.1,4.1445
76.61,42.25,3.9964,24.59,25.1,4.1492
76.66,42.17,3.9757,24.67,25.1,4.1476
76.7,42.27,4.0059,24.67,25.1,4.1445
76.74,42.2,4.0012,24.43,25.1,4.1461
76.78,42.15,3.9996,24.51,25.1,4.1524
76.82,42.27,4.0043,24.43,25.1,4.1508
76.87,42.32,4.0028,24.59,25.1,4.1429
76.91,42.3,4.0091,24.36,25.1,4.1461
76.95,42.22,4.0043,24.75,25.1,4.1492
76.99,42.25,4.0059,24.51,25.1,4.1508
77.04,42.34,3.9836,24.28,25.1,4.1492
77.08,42.34,4.0043,24.43,25.1,4.1461
77.12,42.32,4.0028,24.75,25.1,4.1476
77.17,42.42,4.0012,24.43,25.1,4.1492
77.21,42.32,4.0075,24.59,25.1,4.1476
77.25,42.32,4.0059,24.51,25.1,4.1461
77.29,42.27,4.0059,24.43,25.1,4.1397
77.33,42.39,4.0028,24.67,25.1,4.1461
77.38,42.25,4.0107,24.51,25.1,4.1476
77.42,42.2,4.0091,24.28,25.1,4.1445
77.47,42.22,3.9757,24.43,25.1,4.1492
77.53,42.17,3.9836,24.12,25.1,4.1476
77.57,42.25,3.9852,24.43,25.1,4.1445
77.61,42.2,3.9805,24.59,25.1,4.1461
77.66,42.22,3.9789,24.67,25.1,4.1413
77.7,42.2,3.9852,24.36,25.1,4.1461
77.74,42.15,3.9757,24.36,25.1,4.1445
77.78,42.1,3.9868,24.43,25.1,4.1461
77.83,42.08,3.9805,24.43,25.1,4.1445
77.87,42.05,3.9852,24.51,25.1,4.1508
77.91,42.08,4.0028,24.43,25.1,4.1445
77.96,42.03,3.998,24.43,25.1,4.1492
78.0,42.1,4.0028,24.59,25.1,4.1445
78.04,42.15,4.0012,24.28,25.1,4.1476
78.08,42.1,4.0075,24.51,25.1,4.1445
78.12,42.08,4.0091,24.43,25.1,4.1492
78.17,42.03,3.998,24.51,25.1,4.1492
78.21,41.93,4.0028,24.51,25.1,4.1445
78.26,42.05,3.9821,24.67,25.1,4.1461
78.3,42.12,4.0059,24.51,25.1,4.1445
78.34,42.05,4.0012,24.43,25.1,4.1476
78.38,41.95,4.0028,24.51,25.1,4.1476
78.42,41.88,4.0028,24.43,25.1,4.1461
78.47,41.68,4.0028,24.43,25.1,4.1461
78.51,41.61,4.0043,24.59,25.1,4.1476
78.55,41.44,4.0091,24.43,25.1,4.1476
78.59,40.83,3.998,24.43,25.1,4.1397
78.64,40.44,3.9852,24.36,25.1,4.1476
78.68,40.85,4.0075,24.67,25.1,4.1429
78.72,41.0,4.0028,24.12,25.1,4.1461
78.77,40.95,4.0028,24.59,25.1,4.1492
78.81,40.93,4.0043,24.67,25.1,4.1492
78.85,40.81,4.0012,24.51,25.1,4.1492
78.89,40.61,3.998,24.51,25.1,4.1508
78.93,40.34,4.0012,24.59,25.1,4.1492
78.98,40.2,3.998,24.51,25.1,4.1413
79.02,39.98,3.9821,24.51,25.1,4.1461
79.07,39.88,4.0028,24.43,25.1,4.1476
79.11,39.93,3.9996,24.51,25.1,4.1476
79.15,39.8,4.0012,24.59,25.1,4.1492
79.19,39.58,4.0012,24.36,25.1,4.1476
79.23,39.54,4.0059,24.51,25.1,4.1461
79.28,39.58,3.998,24.67,25.1,4.1492
79.32,39.78,4.0043,24.59,25.1,4.1445
79.36,40.1,4.0059,24.28,25.1,4.1461
79.41,40.68,3.9852,24.51,25.1,4.1445
79.45,41.44,4.0075,24.51,25.1,4.1524
79.49,42.17,4.0091,24.75,25.1,4.1461
79.53,42.98,4.0091,24.36,25.1,4.1492
79.58,43.76,4.0028,24.51,25.1,4.1461
79.62,44.32,4.0059,24.67,25.1,4.1461
79.66,45.05,4.0028,24.43,25.1,4.1461
79.7,45.59,3.9996,24.43,25.1,4.1508
79.74,45.98,4.0059,24.75,25.1,4.1445
79.79,46.45,3.9805,24.2,25.1,4.1492
79.83,46.76,3.998,24.67,25.1,4.1429
79.88,47.16,3.9996,24.43,25.1,4.1492
79.92,47.5,3.9996,24.67,25.1,4.1445
79.96,47.77,3.9964,24.43,25.1,4.1429
80.0,48.08,4.0043,24.43,25.1,4.1461
80.04,48.42,4.0043,24.28,25.1,4.1476
80.09,48.72,4.0043,24.36,25.1,4.1492
80.13,49.26,4.0059,24.75,25.1,4.1476
80.18,49.4,4.0059,24.59,25.1,4.1461
80.22,49.57,3.9836,24.28,25.1,4.1445
80.26,49.67,4.0012,24.51,25.1,4.154
80.3,49.82,4.0059,24.51,25.1,4.1508
80.34,49.84,4.0059,24.36,25.1,4.1461
80.39,49.87,4.0059,24.59,25.1,4.1461
80.43,49.91,4.0043,24.51,25.1,4.1461
80.47,49.96,4.0043,24.75,25.1,4.1461
80.51,49.99,4.0075,24.43,25.1,4.1492
80.56,50.01,4.0059,24.51,25.1,4.1445
80.6,50.04,3.9821,24.36,25.1,4.1508
80.64,49.96,4.0012,24.59,25.1,4.1508
80.69,50.09,3.9964,24.51,25.1,4.1492
80.73,49.99,4.0028,24.59,25.1,4.1508
80.77,50.04,3.9964,24.67,25.1,4.1445
80.81,50.06,4.0012,24.2,25.1,4.1461
80.85,50.11,3.9996,24.36,25.1,4.1429
80.9,50.13,4.0012,24.36,25.1,4.1461
80.94,50.11,3.998,24.51,25.1,4.1413
81.0,50.06,3.9773,24.28,25.1,4.1461
81.04,50.13,4.0043,24.51,25.1,4.1476
81.08,50.13,4.0091,24.43,25.1,4.1476
81.13,50.11,4.0091,24.75,25.1,4.1476
81.17,50.09,4.0059,24.51,25.1,4.1476
81.21,50.13,3.998,24.43,25.1,4.1476
81.25,50.09,4.0043,24.36,25.1,4.1413
81.29,50.13,3.9996,24.59,25.1,4.1508
81.34,50.13,4.0059,24.36,25.1,4.1461
81.38,50.09,3.9789,24.43,25.1,4.1492
81.43,50.11,4.0075,24.43,25.1,4.1476
81.47,50.16,3.9996,24.43,25.1,4.1445
81.53,50.13,3.9773,23.96,25.1,4.1461
81.57,50.13,3.9836,24.36,25.1,4.1476
81.62,50.09,3.9773,24.51,25.1,4.1429
81.66,50.11,3.9836,24.51,25.1,4.1445
81.7,50.18,3.9757,24.51,25.1,4.1413
81.74,50.11,3.9789,24.36,25.1,4.1429
81.79,50.13,3.9852,24.51,25.1,4.1476
81.83,50.09,4.0059,24.28,25.1,4.1492
81.87,50.16,3.998,24.59,25.1,4.1476
81.92,50.11,3.998,24.43,25.1,4.1492
81.96,50.09,4.0028,24.43,25.1,4.1445
82.0,50.09,4.0012,24.83,25.1,4.1508
82.04,50.06,4.0043,24.28,25.1,4.1461
82.08,50.16,4.0043,24.36,25.1,4.1508
82.13,50.09,4.0059,24.43,25.1,4.1429
82.17,50.09,3.9805,24.43,25.1,4.1461
82.22,50.09,4.0059,24.36,25.1,4.1476
82.26,50.11,4.0043,24.36,25.1,4.1476
