Measured Resistance [Ohms]
9425
9484
9491
9740
9750
9760
9765
9770
9770
9771
9772
9775
9777
9780
9784
9786
9789
9790
9790
9791
9800
9800
9801
9802
9802
9802
9803
9804
9804
9805
9805
9805
9806
9807
9808
9808
9810
9811
9816
9818
9818
9818
9818
9820
9820
9820
9822
9822
9823
9825
9826
9826
9828
9828
9828
9829
9829
9830
9831
9831
9833
9833
9833
9834
9835
9836
9837
9839
9839
9840
9840
9842
9842
9842
9842
9844
9844
9844
9845
9846
9846
9847
9848
9849
9850
9854
9854
9854
9855
9855
9856
9856
9857
9857
9857
9857
9858
9859
9859
9861
9861
9862
9862
9867
9868
9868
9868
9869
9870
9870
9873
9873
9874
9874
9877
9877
9878
9879
9880
9880
9882
9883
9883
9885
9887
9888
9890
9890
9891
9891
9892
9892
9894
9894
9895
9895
9895
9896
9896
9896
9899
9902
9902
9902
9903
9904
9904
9906
9910
9911
9911
9915
9916
9916
9917
9917
9918
9919
9923
9925
9926
9926
9927
9928
9928
9930
9930
9931
9937
9937
9938
9939
9940
9941
9944
9947
9948
9949
9950
9954
9955
9960
9961
9964
9974
9976
9980
9985
9985
9997
10173
10180
