Time [us], A0, A1
4241628,267,398
4244356,266,400
4247084,264,400
4249812,266,400
4252540,277,395
4255264,265,392
4257980,274,397
4260700,267,400
4263436,265,400
4266172,265,401
4268892,265,395
4271628,266,392
4274348,266,395
4277068,266,400
4279796,266,401
4282524,267,400
4285248,261,396
4287972,265,392
4290700,266,394
4293420,265,400
4296140,266,400
4298868,267,400
4301596,267,397
4304316,268,392
4307036,266,394
4309764,266,400
4312492,266,400
4315212,266,400
4317940,268,399
4320676,267,392
4323404,266,393
4326124,266,400
4328852,266,400
4331584,267,400
4334308,266,400
4337036,266,393
4339780,266,393
4342508,267,400
4345240,265,400
4347976,266,401
4350708,264,400
4353436,266,393
4356164,267,392
4358876,266,400
4361604,266,401
4364328,267,400
4367052,265,401
4369780,265,394
4372508,266,392
4375232,266,399
4377956,265,400
4380688,265,401
4383412,263,401
4386140,266,394
4388876,267,392
4391604,265,398
4394332,265,401
4397064,266,401
4399780,267,400
4402516,268,394
4405256,266,392
4407980,270,397
4410716,266,401
4413452,267,400
4416164,265,400
4418892,265,395
4421620,267,392
4424356,268,395
4427076,268,400
4429804,267,401
4432532,267,401
4435264,267,396
4437988,265,392
4440724,264,394
4443452,267,400
4446180,267,400
4448908,266,400
4451644,266,397
4454372,269,392
4457092,264,394
4459828,268,401
4462548,266,400
4465280,265,401
4467996,265,398
4470724,265,393
4473452,268,393
4476180,266,400
4478908,268,400
4481636,265,400
4484356,268,399
4487076,262,393
4489804,266,393
4492532,265,400
4495256,265,401
4497980,265,400
4500708,265,400
4503428,267,393
4506164,265,392
4508892,266,400
4511620,269,400
4514340,265,400
4517060,265,400
4519780,265,393
4522516,266,392
4525248,266,399
4527972,266,401
4530708,268,401
4533436,266,401
4536156,269,394
4538884,266,392
4541612,267,398
4544332,265,401
4547060,266,401
4549780,264,401
4552492,267,395
4555212,267,392
4557948,266,397
4560684,269,400
4563404,267,401
4566132,265,400
4568860,265,395
4571596,265,392
4574316,266,395
4577028,264,401
4579764,265,400
4582484,268,401
4585196,267,397
4587932,261,392
4590664,268,394
4593388,265,400
4596116,269,400
4598840,266,400
4601556,269,398
4604288,267,392
4607020,266,394
4609748,266,401
4612484,266,401
4615208,268,400
4617932,267,399
4620660,265,393
4623396,265,393
4626116,266,400
4628852,269,400
4631576,266,400
4634300,265,400
4637020,266,393
4639756,267,393
4642484,264,400
4645212,265,401
4647924,265,401
4650644,266,400
4653372,264,393
4656092,267,392
4658828,265,399
4661564,267,400
4664292,265,400
4667020,265,400
4669748,266,394
4672476,269,392
4675196,268,399
4677932,266,400
4680660,265,400
4683388,266,400
4686100,265,394
4688828,267,392
4691548,263,398
4694272,266,401
4696996,266,401
4699724,264,401
4702444,265,395
4705164,267,392
4707900,265,396
4710628,265,401
4713348,266,400
4716084,266,401
4718812,268,396
4721532,266,392
4724272,269,395
4726996,267,401
4729724,265,400
4732452,265,400
4735172,266,396
4737900,266,392
4740628,274,394
4743356,263,400
4746084,264,400
4748820,267,400
4751548,266,397
4754280,268,392
4757004,259,394
4759740,267,400
4762460,267,400
4765188,266,400
4767916,267,399
4770636,268,392
4773364,267,393
4776084,266,400
4778804,266,401
4781540,267,401
4784272,268,400
4786988,266,393
4789724,267,392
4792444,266,400
4795164,267,400
4797900,266,400
4800628,266,400
4803348,266,394
4806076,267,393
4808804,268,400
4811532,266,400
4814264,267,400
4816988,267,400
4819716,266,393
4822452,264,392
4825164,269,398
4827892,265,400
4830628,265,400
4833356,267,400
4836076,266,394
4838812,267,392
4841544,266,397
4844272,266,400
4847004,264,400
4849728,265,400
4852444,264,395
4855172,268,392
4857896,265,396
4860620,269,401
4863356,267,400
4866092,267,400
4868812,267,396
4871548,268,392
4874276,266,395
4877004,267,401
4879740,266,400
4882464,268,400
4885188,267,396
4887924,268,392
4890656,265,394
4893380,267,400
4896108,266,400
4898840,264,400
4901572,265,398
4904308,265,392
4907024,265,394
4909756,265,400
4912492,265,400
4915208,266,400
4917940,268,399
4920668,265,393
4923404,267,393
4926116,266,400
4928844,266,400
4931564,265,400
4934296,268,400
4937028,267,393
4939756,266,393
4942476,266,400
4945204,264,400
4947932,266,400
4950668,269,400
4953396,268,393
4956124,266,392
4958852,266,400
4961588,266,400
4964316,266,400
4967036,266,400
4969756,269,394
4972484,265,392
4975204,267,399
4977932,264,400
4980660,265,400
4983380,268,400
4986092,266,394
4988820,266,392
4991548,266,397
4994264,266,400
4996988,265,400
4999708,266,400
5002428,261,395
5005148,267,392
5007868,267,396
5010588,267,401
5013316,266,400
5016044,267,400
5018764,266,396
5021484,268,392
5024204,266,395
5026932,268,400
5029660,265,400
5032388,267,400
5035116,269,397
5037844,266,392
5040572,264,394
5043296,265,401
5046020,266,400
5048756,265,400
5051476,265,398
5054204,269,392
5056940,262,394
5059668,267,400
5062396,267,400
5065124,266,400
5067852,267,399
5070580,268,393
5073316,265,393
5076044,267,400
5078780,265,400
5081516,266,400
5084256,265,400
5086972,266,393
5089700,266,393
5092420,263,400
5095148,267,401
5097876,267,400
5100612,265,400
5103332,265,393
5106060,265,392
5108788,267,399
5111516,267,400
5114248,266,400
5116976,266,400
5119692,268,394
5122420,268,392
5125148,268,398
5127876,267,400
5130612,265,400
5133328,265,400
5136052,267,394
5138788,266,392
5141512,266,397
5144240,264,400
5146964,267,400
5149692,266,401
5152420,267,395
5155148,282,392
5157868,268,396
5160604,265,401
5163332,268,401
5166060,267,401
5168788,268,395
5171524,266,392
5174256,266,395
5176988,267,400
5179724,265,400
5182444,266,400
5185172,266,396
5187908,266,392
5190628,264,394
5193356,265,400
5196084,266,400
5198812,267,400
5201548,265,398
5204280,266,392
5206996,266,393
5209732,263,400
5212452,265,400
5215180,266,400
5217908,267,399
5220636,265,393
5223364,266,393
5226092,265,400
