Time [s], A0
4.451644,266
4.454372,269
4.457092,264
4.459828,268
4.462548,266
4.46528,265
4.467996,265
4.470724,265
4.473452,268
4.47618,266
4.478908,268
4.481636,265
4.484356,268
4.487076,262
4.489804,266
4.492532,265
4.495256,265
4.49798,265
4.500708,265
4.503428,267
4.506164,265
4.508892,266
4.51162,269
4.51434,265
4.51706,265
4.51978,265
4.522516,266
4.525248,266
4.527972,266
4.530708,268
4.533436,266
4.536156,269
4.538884,266
4.541612,267
4.544332,265
4.54706,266
4.54978,264
4.552492,267
4.555212,267
4.557948,266
4.560684,269
4.563404,267
4.566132,265
4.56886,265
4.571596,265
4.574316,266
4.577028,264
4.579764,265
4.582484,268
4.585196,267
4.587932,261
4.590664,268
4.593388,265
4.596116,269
4.59884,266
4.601556,269
4.604288,267
4.60702,266
4.609748,266
4.612484,266
4.615208,268
4.617932,267
4.62066,265
4.623396,265
4.626116,266
4.628852,269
4.631576,266
4.6343,265
4.63702,266
4.639756,267
4.642484,264
4.645212,265
4.647924,265
4.650644,266
4.653372,264
4.656092,267
4.658828,265
4.661564,267
4.664292,265
4.66702,265
4.669748,266
4.672476,269
4.675196,268
4.677932,266
4.68066,265
4.683388,266
4.6861,265
4.688828,267
4.691548,263
4.694272,266
4.696996,266
4.699724,264
4.702444,265
4.705164,267
4.7079,265
4.710628,265
4.713348,266
4.716084,266
4.718812,268
4.721532,266
4.724272,269
4.726996,267
4.729724,265
4.732452,265
4.735172,266
4.7379,266
4.740628,274
4.743356,263
4.746084,264
4.74882,267
4.751548,266
4.75428,268
4.757004,259
4.75974,267
4.76246,267
4.765188,266
4.767916,267
4.770636,268
4.773364,267
4.776084,266
4.778804,266
4.78154,267
4.784272,268
4.786988,266
4.789724,267
4.792444,266
4.795164,267
4.7979,266
4.800628,266
4.803348,266
4.806076,267
4.808804,268
4.811532,266
4.814264,267
4.816988,267
4.819716,266
4.822452,264
4.825164,269
4.827892,265
4.830628,265
4.833356,267
4.836076,266
4.838812,267
4.841544,266
4.844272,266
4.847004,264
4.849728,265
4.852444,264
4.855172,268
4.857896,265
4.86062,269
4.863356,267
4.866092,267
4.868812,267
4.871548,268
4.874276,266
4.877004,267
4.87974,266
4.882464,268
4.885188,267
4.887924,268
4.890656,265
4.89338,267
4.896108,266
4.89884,264
4.901572,265
4.904308,265
4.907024,265
4.909756,265
4.912492,265
4.915208,266
4.91794,268
4.920668,265
4.923404,267
4.926116,266
4.928844,266
4.931564,265
4.934296,268
4.937028,267
4.939756,266
4.942476,266
4.945204,264
4.947932,266
4.950668,269
4.953396,268
4.956124,266
4.958852,266
4.961588,266
4.964316,266
4.967036,266
4.969756,269
4.972484,265
4.975204,267
4.977932,264
4.98066,265
4.98338,268
4.986092,266
4.98882,266
4.991548,266
4.994264,266
4.996988,265
4.999708,266
5.002428,261
5.005148,267
5.007868,267
5.010588,267
5.013316,266
5.016044,267
5.018764,266
5.021484,268
5.024204,266
5.026932,268
5.02966,265
5.032388,267
5.035116,269
5.037844,266
5.040572,264
5.043296,265
5.04602,266
5.048756,265
5.051476,265
5.054204,269
5.05694,262
5.059668,267
5.062396,267
5.065124,266
5.067852,267
5.07058,268
5.073316,265
5.076044,267
5.07878,265
5.081516,266
5.084256,265
5.086972,266
5.0897,266
5.09242,263
5.095148,267
5.097876,267
5.100612,265
5.103332,265
5.10606,265
5.108788,267
5.111516,267
5.114248,266
5.116976,266
5.119692,268
5.12242,268
5.125148,268
5.127876,267
5.130612,265
5.133328,265
5.136052,267
5.138788,266
5.141512,266
5.14424,264
5.146964,267
5.149692,266
5.15242,267
5.155148,282
5.157868,268
5.160604,265
5.163332,268
5.16606,267
5.168788,268
5.171524,266
5.174256,266
5.176988,267
5.179724,265
5.182444,266
5.185172,266
5.187908,266
5.190628,264
5.193356,265
5.196084,266
5.198812,267
5.201548,265
5.20428,266
5.206996,266
5.209732,263
5.212452,265
5.21518,266
5.217908,267
5.220636,265
5.223364,266
5.226092,265
5.22882,264
5.231548,266
5.234288,265
5.237012,267
5.239748,266
5.242476,266
5.245196,265
5.247924,266
5.250652,267
5.253372,265
5.256092,267
5.258828,266
5.261548,269
5.26428,266
5.267012,265
5.269732,264
5.272452,265
5.27518,266
5.2779,266
5.280628,266
5.283356,266
5.286076,270
5.288804,267
5.29154,265
5.294272,265
5.296988,266
5.299716,264
5.302436,265
5.305156,267
5.307884,266
5.310612,265
5.31334,266
5.316068,267
5.318796,266
5.321516,266
5.324248,266
5.326972,266
5.3297,266
5.33242,266
5.33514,266
5.337868,263
5.340596,266
5.343316,266
5.346044,267
5.348772,267
5.3515,267
5.354212,269
5.356948,268
5.35968,265
5.362396,266
5.365132,264
5.367864,266
5.370588,267
5.373316,267
5.376052,264
5.378764,266
5.381484,266
5.384212,264
5.386932,266
5.389668,264
5.392392,266
5.395116,267
5.397852,267
5.400584,267
5.403304,263
5.406036,266
5.408764,269
5.411484,266
5.414204,265
5.416932,265
5.419668,281
5.422396,265
5.425108,266
5.427836,263
5.430572,266
5.433296,266
5.43602,269
5.438748,266
5.441476,262
5.444204,267
5.446932,264
5.44966,267
5.452388,266
5.455108,267
5.457836,267
5.460572,267
5.463304,267
5.466028,268
5.468756,265
5.471476,266
5.474196,266
5.476932,267
5.47966,266
5.482388,265
5.485116,267
5.487844,267
5.490564,266
5.493296,268
5.496012,266
5.49874,267
5.501468,265
5.504196,264
5.506924,266
5.50966,266
5.51238,265
5.5151,266
5.517828,267
5.520548,264
5.523272,265
5.525996,266
5.528724,267
5.531444,264
5.534172,267
5.5369,268
5.53962,265
5.542348,266
5.545076,268
5.547804,266
5.55054,264
5.553264,267
5.555988,266
5.558716,264
5.561444,266
5.564172,267
5.5669,266
5.56962,264
5.572348,268
5.57506,266
5.577784,267
5.580508,266
5.58324,267
5.585972,267
5.5887,266
5.59142,266
5.594144,265
