seconds, T0, T1, T2, T3, T4, T5, BAT, 
5.231, 24.934, 26.526, 25.969, 25.969, 25.571, 24.854, 4.1715, 
5.240, 25.093, 26.526, 25.730, 26.048, 25.889, 25.093, 4.1731, 
5.248, 25.093, 26.526, 25.969, 26.366, 25.809, 25.093, 4.1731, 
5.256, 25.013, 26.526, 25.889, 26.048, 25.650, 24.934, 4.1779, 
5.270, 24.854, 26.207, 25.889, 25.730, 25.730, 25.093, 4.1779, 
5.279, 25.173, 26.924, 25.889, 25.889, 25.809, 24.854, 4.1747, 
5.287, 25.093, 26.764, 25.889, 25.809, 25.571, 24.934, 4.1763, 
5.295, 25.332, 26.366, 25.889, 25.809, 26.048, 25.013, 4.1779, 
5.303, 24.934, 26.526, 25.889, 25.969, 25.889, 24.775, 4.1811, 
5.312, 24.934, 26.605, 25.969, 25.969, 25.730, 24.934, 4.1747, 
5.320, 25.332, 26.366, 26.048, 25.809, 25.889, 25.093, 4.1827, 
5.328, 25.332, 26.446, 25.969, 26.048, 25.969, 25.093, 4.1779, 
5.342, 24.934, 26.844, 25.809, 26.048, 26.128, 25.013, 4.1795, 
5.351, 25.013, 26.366, 25.889, 25.809, 25.969, 25.411, 4.1779, 
5.359, 25.093, 26.366, 25.969, 25.889, 25.969, 25.013, 4.1795, 
5.367, 25.013, 26.685, 25.809, 25.889, 25.809, 25.332, 4.1763, 
5.376, 24.854, 26.605, 26.048, 25.889, 25.730, 25.093, 4.1747, 
5.384, 25.173, 26.685, 25.730, 26.207, 25.730, 25.173, 4.1747, 
5.392, 24.854, 26.366, 25.969, 25.969, 25.809, 24.854, 4.1779, 
5.406, 24.775, 26.446, 26.048, 26.048, 25.650, 25.093, 4.1747, 
5.415, 25.013, 26.526, 25.889, 25.889, 25.730, 24.934, 4.1811, 
5.423, 25.332, 26.526, 25.889, 25.809, 25.969, 25.093, 4.1763, 
5.431, 25.173, 26.446, 25.889, 26.128, 25.650, 25.093, 4.1811, 
5.440, 25.252, 26.287, 26.048, 26.048, 25.491, 24.854, 4.1763, 
5.448, 25.013, 26.446, 25.889, 25.889, 25.730, 25.013, 4.1747, 
5.456, 25.252, 26.446, 26.048, 26.207, 25.809, 25.093, 4.1779, 
5.465, 25.173, 26.446, 25.809, 25.969, 25.730, 25.173, 4.1795, 
5.479, 25.013, 26.366, 26.287, 25.889, 25.730, 25.571, 4.1779, 
5.487, 24.934, 26.366, 25.730, 26.207, 25.809, 24.934, 4.1779, 
5.495, 25.093, 26.366, 26.128, 26.128, 25.730, 25.013, 4.1763, 
5.504, 25.173, 26.605, 25.730, 25.889, 25.730, 25.093, 4.1763, 
5.512, 25.093, 26.287, 26.128, 25.889, 25.650, 25.013, 4.1731, 
5.520, 25.093, 26.685, 25.571, 25.889, 25.491, 25.013, 4.1779, 
5.529, 25.013, 26.446, 25.889, 25.889, 25.889, 25.173, 4.1731, 
5.537, 25.093, 26.446, 25.809, 25.730, 25.809, 24.854, 4.1731, 
5.551, 25.252, 26.526, 25.969, 26.048, 25.411, 25.093, 4.1731, 
5.559, 24.854, 26.446, 26.048, 26.048, 25.730, 24.934, 4.1747, 
5.568, 24.934, 26.366, 26.048, 25.889, 25.889, 25.093, 4.1747, 
5.576, 25.093, 26.287, 25.889, 26.128, 25.889, 25.093, 4.1763, 
5.584, 25.332, 26.366, 26.048, 26.048, 25.650, 24.934, 4.1763, 
5.593, 25.093, 26.605, 25.809, 26.048, 25.809, 24.934, 4.1731, 
5.601, 24.934, 26.685, 25.889, 26.048, 25.730, 24.934, 4.1731, 
5.609, 25.173, 26.446, 25.969, 25.889, 25.650, 25.093, 4.1859, 
5.623, 25.252, 26.366, 25.730, 26.128, 25.491, 25.093, 4.1763, 
5.632, 25.093, 27.083, 25.809, 26.048, 25.730, 25.173, 4.1827, 
5.640, 25.332, 26.366, 25.889, 26.128, 25.969, 25.173, 4.1731, 
5.648, 25.093, 26.924, 26.207, 26.048, 25.571, 24.934, 4.1779, 
5.657, 25.093, 26.446, 25.969, 25.969, 25.730, 25.093, 4.1779, 
5.665, 25.093, 26.366, 25.889, 25.889, 25.650, 24.934, 4.1779, 
5.674, 25.093, 26.446, 26.128, 26.048, 25.650, 24.775, 4.1763, 
5.682, 25.013, 26.764, 26.048, 26.207, 25.730, 24.934, 4.1763, 
5.696, 25.411, 26.526, 26.128, 25.889, 25.650, 25.013, 4.1763, 
