Time [ms],Time [ms],Test 1,Test 2,Test 3,Test 4,Test 5
179.184,179.184,3.86,2.11,3.51,0,3.16
180.624,180.624,3.98,1.99,3.63,0,3.04
182.076,182.076,3.98,1.99,3.75,0.12,2.93
183.52,183.52,3.98,1.76,3.86,0.35,2.81
184.96,184.96,4.1,1.64,3.98,0.7,2.58
186.412,186.412,4.22,1.64,4.1,0.7,1.41
187.852,187.852,4.22,1.52,4.1,0.82,0.23
189.308,189.308,4.33,1.52,4.1,0.94,-0.82
190.74,190.74,4.33,1.41,4.22,1.05,-0.47
192.192,192.192,4.22,1.29,4.22,1.05,0.59
193.644,193.644,4.45,1.41,4.22,1.17,0.94
195.072,195.072,4.45,1.29,4.22,1.17,0.47
196.528,196.528,4.45,1.29,4.22,1.17,-0.23
197.968,197.968,4.45,1.29,4.1,1.17,-0.35
199.416,199.416,4.45,1.29,4.1,1.17,0.12
200.856,200.856,4.45,1.29,3.98,1.17,0.7
202.296,202.296,4.45,1.41,3.98,1.05,0.59
203.752,203.752,4.45,1.41,3.86,0.94,0.23
205.192,205.192,4.45,1.41,3.75,0.94,0
206.64,206.64,4.45,1.52,3.75,0.82,0.23
208.08,208.08,4.45,1.64,3.51,0.82,0.47
209.52,209.52,4.45,1.64,3.4,0.7,0.59
210.976,210.976,4.33,1.76,3.28,0.59,0.23
212.42,212.42,4.33,1.87,3.16,0.59,0
213.864,213.864,4.33,1.99,3.04,0.47,0.12
215.308,215.308,4.22,1.99,2.93,0.35,0.35
216.764,216.764,4.22,2.22,2.81,0.23,0.47
218.204,218.204,4.1,2.11,2.69,0.23,0.35
219.64,219.64,4.1,2.34,2.46,0.12,0.23
221.092,221.092,3.98,2.46,2.46,0,0.12
222.528,222.528,3.86,2.69,2.34,0,0.23
223.984,223.984,3.86,2.69,2.22,0,0.47
225.416,225.416,3.75,2.81,2.22,0,0.35
226.868,226.868,3.63,2.93,1.99,0,0.23
228.32,228.32,3.51,3.04,1.99,0,0.12
229.756,229.756,3.4,3.16,1.87,0.23,0.23
231.204,231.204,3.4,3.28,1.87,0.12,0.23
232.644,232.644,3.28,3.4,1.76,0.23,0.23
234.088,234.088,3.16,3.4,1.76,0.35,0.23
235.544,235.544,3.16,3.51,1.87,0.47,0.23
236.98,236.98,3.04,3.63,1.76,0.47,0.23
238.424,238.424,2.93,3.75,1.76,0.59,0.35
239.872,239.872,2.93,3.75,1.76,0.7,0.35
241.32,241.32,2.81,3.86,1.76,0.7,0.35
242.768,242.768,2.81,3.75,1.87,0.82,0.23
244.208,244.208,2.69,3.86,1.87,0.94,0.23
245.656,245.656,2.58,3.98,1.87,0.94,0.35
247.096,247.096,2.58,3.98,1.99,1.05,0.12
248.544,248.544,2.58,3.98,2.11,1.05,0.23
249.984,249.984,2.58,3.98,2.11,1.05,0.23
251.432,251.432,2.46,3.98,2.22,0.94,0.23
252.88,252.88,2.46,3.86,2.34,1.29,0.23
254.32,254.32,2.46,3.86,2.46,1.76,0.23
255.776,255.776,2.46,3.86,2.46,2.46,0.23
