,"USB Voltages From 3 Laptops (about 5V), Record RMS and Peak to Peak Voltages in millivolts",,,,,,,,,Arduino UNO 3.3,,,Arduino UNO 1.1,,
Group,V1 [V],RMS [mV],P to P [mV],V2 [V],RMS [mV],P to P [mV],V3 [V],RMS [mV],P to P [mV],3V3 [V],RMS [mV],P to P [mV],1.1[V],RMS [mV],P to P [mV]
50,5.168,4.90,24.00,5.088,5.25,21.20,,,,3.307,0.88,6.40,1.084,1.72,10.20
51,5.025,4.46,20.80,5.129,6.00,27.50,5.069,2.05,10.40,3.326,1.16,7.60,1.096,3.21,15.00
52,5.035,4.28,27.00,5.113,2.32,15.20,5.055,2.30,17.80,3.326,1.29,14.80,1.088,1.45,18.60
53,4.996,2.16,21.00,5.032,4.83,26.60,5.128,5.15,34.60,3.371,3.85,19.50,1.098,4.74,27.50
55,5.062,3.00,17.00,5.035,3.21,18.50,5.047,3.15,17.80,3.362,1.22,7.20,1.084,4.65,20.50
56,5.060,2.85,11.90,5.060,2.60,20.40,5.068,2.02,10.00,3.333,1.51,9.20,1.086,2.89,12.80
57,5.019,5.39,22.20,5.009,2.03,16.00,4.906,3.96,18.00,3.368,0.54,3.60,1.077,2.26,11.60
58,5.079,0.01,21.10,5.002,3.20,16.30,4.987,3.25,32.00,3.442,1.22,21.40,1.043,3.21,21.20
59,4.924,13.10,80.00,4.960,13.10,80.00,4.916,13.20,80.00,3.397,2.97,40.00,1.085,3.05,40.00
60,5.100,1.31,10.10,5.129,2.30,17.70,,,,3.301,1.13,20.30,1.079,2.13,20.30
61,5.076,4.00,20.00,5.065,1.50,10.00,5.002,1.80,10.00,3.291,1.30,5.00,1.088,2.50,10.00
62,5.006,1.89,11.20,5.255,1.66,11.40,5.065,1.99,12.40,3.307,0.51,4.08,1.084,1.52,9.84
63,5.100,1.53,9.36,5.130,1.69,10.40,5.070,5.13,21.60,3.296,2.24,3.30,1.091,2.34,12.20
64,5.010,1.09,7.68,5.030,1.10,6.08,4.980,1.08,8.08,3.330,1.05,6.88,1.080,1.24,7.84
65,5.035,4.70,44.00,5.022,3.55,28.40,5.037,7.90,59.60,3.300,3.64,60.40,1.087,3.72,62.80
66,5.128,4.10,26.20,5.045,2.45,24.00,,,,3.295,1.03,22.40,1.102,0.40,2.70
67,5.060,5.45,34.40,5.067,3.15,26.80,4.979,2.43,15.40,3.371,2.25,21.00,1.083,3.29,24.80
68,5.042,4.57,21.60,5.073,4.75,27.40,5.088,3.17,15.80,3.398,1.46,8.60,1.088,3.05,12.60
69,5.068,1.10,3.60,5.009,1.67,4.80,5.050,0.82,3.00,3.320,1.49,4.00,1.094,0.98,4.00
70,5.084,1.80,15.60,5.035,3.85,19.20,5.027,2.73,16.80,7.600,2.61,15.00,1.095,2.37,39.80
71,5.084,1.95,14.00,5.025,1.90,30.00,5.064,2.20,28.00,3.340,1.30,11.00,1.081,3.80,22.00
72,5.133,1.90,15.00,5.580,1.30,9.50,5.044,1.50,10.00,3.383,2.00,9.50,1.083,2.70,14.00
73,5.051,1.26,7.60,5.019,7.01,22.40,5.242,3.19,20.80,3.312,1.19,9.12,1.103,1.88,12.00
74,5.022,7.46,17.60,5.120,9.68,87.20,5.129,6.27,8.00,3.351,2.18,21.60,1.097,3.18,29.60
75,5.037,3.72,14.80,5.024,2.58,14.80,5.106,3.48,17.80,3.393,1.06,14.40,1.081,2.03,14.80
76,5.045,1.62,10.40,5.047,1.67,12.40,,,,3.364,0.97,8.64,1.104,3.87,24.40
77,5.132,2.66,20.40,5.025,2.80,19.80,4.992,2.58,17.90,3.385,2.47,14.00,1.093,3.00,17.50
