,Time [s],Light,USB,TMP36 [C],TC [C],Batt [V]
1139,54.39,49.94,4.0043,24.75,25.0,4.1492
1140,54.44,49.99,4.0012,24.83,25.0,4.1461
1141,54.48,49.99,4.0075,24.75,25.0,4.1445
1142,54.52,49.87,4.0091,24.91,25.0,4.1556
1143,54.56,49.94,3.9996,24.43,25.0,4.1492
1144,54.6,49.94,3.998,24.75,25.0,4.1476
1145,54.65,49.91,3.9964,24.59,25.0,4.1445
1146,54.69,49.91,3.9741,24.83,25.0,4.1492
1147,54.74,49.89,3.9996,24.59,25.0,4.1476
1148,54.78,49.91,4.0012,24.59,25.0,4.1461
1149,54.82,49.89,4.0043,24.91,25.0,4.1445
1150,54.86,49.82,4.0043,24.75,25.0,4.1476
1151,54.9,49.89,3.998,24.75,25.0,4.1445
1152,54.95,49.82,4.0059,24.43,25.0,4.1476
1153,54.99,49.87,3.9996,24.83,25.0,4.1492
1154,55.03,49.89,3.998,24.75,25.0,4.1476
1155,55.08,49.84,3.9773,24.43,25.0,4.1461
1156,55.12,49.89,4.0012,24.83,25.0,4.1508
1157,55.16,49.87,4.0028,24.75,25.0,4.1476
1158,55.2,49.87,4.0059,24.75,25.0,4.1476
1159,55.25,49.91,4.0012,25.07,25.0,4.1413
1160,55.29,49.87,4.0075,24.67,25.0,4.1461
1161,55.33,49.87,4.0028,24.91,25.0,4.1461
1162,55.37,49.89,4.0028,24.75,25.0,4.1461
1163,55.41,49.84,3.9996,24.99,25.0,4.1429
1164,55.46,49.77,4.0028,24.91,25.0,4.1413
1165,55.5,49.87,3.9821,24.83,25.0,4.1492
1166,55.55,49.87,3.9996,24.91,25.0,4.1508
1167,55.59,49.87,4.0028,24.99,25.0,4.1445
1168,55.63,49.84,3.9932,24.67,25.0,4.1508
1169,55.67,49.84,3.9964,24.91,25.0,4.1476
1170,55.71,49.84,4.0075,24.83,25.0,4.1508
1171,55.76,49.82,4.0028,24.59,25.0,4.1508
1172,55.8,49.89,4.0012,24.83,25.0,4.1413
1173,55.86,49.91,3.9948,24.51,25.0,4.1445
1174,55.9,49.94,3.9789,24.83,25.0,4.1492
1175,55.94,49.84,3.9996,24.99,25.0,4.1476
1176,55.98,49.84,4.0043,24.59,25.0,4.1492
1177,56.03,49.82,4.0043,24.67,25.0,4.1524
1178,56.07,49.82,4.0059,24.83,25.0,4.1476
1179,56.11,49.79,4.0091,24.67,25.0,4.1445
1180,56.15,49.94,4.0075,24.83,25.0,4.1461
1181,56.19,49.87,4.0028,24.67,25.0,4.1508
1182,56.24,49.89,4.0075,24.67,25.0,4.1461
1183,56.28,49.91,3.9836,24.67,25.0,4.1476
1184,56.33,49.89,4.0043,24.67,25.0,4.1445
1185,56.37,49.87,4.0059,24.83,25.0,4.1429
1186,56.41,49.87,4.0075,24.91,25.0,4.1445
1187,56.45,49.87,4.0012,24.83,25.0,4.1476
1188,56.49,49.87,4.0012,24.67,25.0,4.1508
1189,56.54,49.87,4.0075,24.91,25.0,4.1476
1190,56.58,49.84,4.0028,24.83,25.0,4.1461
1191,56.62,49.82,4.0059,24.59,25.0,4.1476
1192,56.67,49.82,3.9773,24.91,25.0,4.1476
1193,56.71,49.77,4.0028,24.59,25.0,4.1461
1194,56.75,49.89,4.0028,24.83,25.0,4.1508
1195,56.79,49.87,4.0059,24.59,25.0,4.1476
1196,56.84,49.89,4.0012,24.67,25.0,4.1445
1197,56.88,49.87,3.998,24.83,25.0,4.1461
1198,56.92,49.87,4.0012,24.75,25.0,4.1445
1199,56.96,49.89,4.0075,25.15,25.0,4.1476
1200,57.0,49.91,4.0075,24.67,25.0,4.1429
1201,57.05,49.87,3.9773,24.67,25.0,4.1492
1202,57.09,49.91,4.0012,24.75,25.0,4.1476
1203,57.14,49.94,4.0091,24.83,25.0,4.1476
1204,57.18,49.84,3.998,24.51,25.0,4.1492
1205,57.22,49.91,4.0043,24.59,25.0,4.1429
1206,57.26,49.87,4.0043,24.75,25.0,4.1476
1207,57.3,49.94,3.9996,24.83,25.0,4.1461
1208,57.37,49.96,3.9789,24.36,25.0,4.1429
1209,57.41,49.94,3.9805,24.91,25.0,4.1445
1210,57.46,49.89,3.9884,24.75,25.0,4.1508
1211,57.5,49.87,3.9996,24.51,25.0,4.1508
1212,57.54,49.87,3.9996,24.59,25.0,4.1476
1213,57.58,49.94,4.0043,24.75,25.0,4.1461
1214,57.63,49.96,4.0091,24.91,25.0,4.1461
1215,57.67,50.11,3.998,24.67,25.0,4.1492
1216,57.71,50.09,3.9964,24.75,25.0,4.1476
1217,57.75,50.09,3.9996,24.91,25.0,4.1461
1218,57.79,50.04,4.0043,24.59,25.0,4.1445
1219,57.84,50.04,3.9805,24.59,25.0,4.1492
1220,57.88,50.09,3.9964,24.59,25.0,4.1445
1221,57.93,50.11,3.9964,24.59,25.0,4.1461
1222,57.97,50.04,3.9964,24.67,25.0,4.1461
1223,58.01,50.01,4.0091,24.51,25.0,4.1492
1224,58.05,50.16,4.0075,24.51,25.0,4.1476
1225,58.09,50.09,4.0075,24.67,25.0,4.1476
1226,58.14,50.01,4.0059,24.51,25.0,4.1492
1227,58.18,50.09,4.0075,24.51,25.0,4.1445
1228,58.23,50.04,4.0075,24.75,25.0,4.1476
1229,58.27,50.09,3.9836,24.75,25.0,4.1492
1230,58.31,50.06,4.0075,24.91,25.0,4.1476
1231,58.35,50.09,3.9996,24.91,25.0,4.154
1232,58.39,50.11,4.0075,24.83,25.0,4.1461
1233,58.44,50.09,4.0043,24.83,25.0,4.1461
1234,58.48,50.06,4.0012,24.83,25.0,4.1445
1235,58.52,50.09,4.0075,24.75,25.0,4.1476
1236,58.56,50.04,4.0059,24.59,25.0,4.1492
1237,58.61,50.01,4.0043,24.67,25.0,4.1429
1238,58.65,50.11,3.9789,24.83,25.0,4.1461
1239,58.69,50.13,3.9996,24.75,25.0,4.1461
1240,58.74,50.11,4.0028,24.59,25.0,4.1461
1241,58.78,50.11,3.998,24.67,25.0,4.1461
1242,58.82,50.04,4.0091,24.67,25.0,4.1476
1243,58.86,50.04,3.998,24.83,25.0,4.1476
1244,58.9,50.06,4.0043,24.51,25.0,4.1445
1245,58.95,50.11,4.0075,24.67,25.0,4.1492
1246,58.99,50.09,4.0012,24.59,25.0,4.1429
1247,59.04,50.01,3.9821,24.75,25.0,4.1492
1248,59.08,50.16,4.0043,24.75,25.0,4.1461
1249,59.12,50.04,3.998,24.91,25.0,4.1476
1250,59.16,49.99,4.0028,24.75,25.0,4.1445
1251,59.2,50.06,4.0091,24.75,25.0,4.1445
1252,59.25,50.06,4.0028,24.67,25.0,4.1429
1253,59.29,50.09,4.0028,24.43,25.0,4.1461
1254,59.33,49.99,4.0059,24.83,25.0,4.1445
1255,59.37,50.09,4.0012,24.83,25.0,4.1492
1256,59.42,50.04,3.9836,24.91,25.0,4.1445
1257,59.46,49.99,4.0012,24.67,25.0,4.1461
1258,59.5,49.84,4.0043,24.51,25.0,4.1461
1259,59.55,49.72,3.998,24.75,25.0,4.1461
1260,59.59,49.69,3.9996,24.83,25.0,4.1492
1261,59.63,49.65,4.0028,24.67,25.0,4.1461
1262,59.67,49.77,4.0043,24.59,25.0,4.1524
1263,59.71,49.69,4.0091,24.83,25.0,4.154
1264,59.76,49.65,3.998,24.67,25.0,4.1429
1265,59.8,49.6,3.9836,24.59,25.0,4.1476
1266,59.85,49.72,4.0059,24.75,25.0,4.1492
1267,59.89,49.67,3.998,24.91,25.0,4.1461
1268,59.93,49.6,4.0059,24.59,25.0,4.1429
1269,59.97,49.57,3.9996,24.59,25.0,4.1508
1270,60.01,49.57,4.0075,24.43,25.0,4.1461
1271,60.06,49.6,4.0091,24.59,25.0,4.1524
1272,60.1,49.57,4.0028,24.91,25.0,4.1492
1273,60.14,49.57,4.0043,24.75,25.0,4.1461
1274,60.19,49.67,3.9836,24.59,25.0,4.1476
1275,60.23,49.6,4.0028,24.67,25.0,4.1445
1276,60.27,49.57,4.0075,24.43,25.0,4.1461
1277,60.31,49.62,4.0012,24.75,25.0,4.1476
1278,60.36,49.65,4.0028,24.59,25.0,4.1508
1279,60.4,49.62,3.9996,24.59,25.0,4.1461
1280,60.44,49.55,4.0107,24.67,25.0,4.1492
1281,60.48,49.57,4.0075,24.83,25.0,4.1445
1282,60.52,49.55,4.0091,24.75,25.0,4.1492
1283,60.57,49.45,3.9805,24.43,25.0,4.1476
1284,60.61,49.47,3.998,24.75,25.0,4.1461
1285,60.66,49.43,4.0012,24.59,25.0,4.1461
1286,60.7,49.43,4.0028,24.51,25.0,4.1461
1287,60.74,49.55,4.0028,24.59,25.0,4.1508
1288,60.78,49.45,4.0028,24.75,25.0,4.1461
1289,60.82,49.5,4.0012,24.75,25.0,4.1476
1290,60.87,49.4,4.0043,24.75,25.0,4.1476
1291,60.91,49.4,4.0028,24.75,25.0,4.1492
1292,60.96,49.38,3.998,24.99,25.0,4.1445
1293,61.0,49.47,3.9789,24.51,25.0,4.1476
1294,61.04,49.5,3.9996,24.67,25.0,4.1476
1295,61.08,49.4,4.0059,24.75,25.0,4.1476
1296,61.12,49.35,4.0043,24.75,25.0,4.1429
1297,61.17,49.21,4.0059,24.59,25.0,4.1461
1298,61.21,49.33,4.0075,24.59,25.0,4.1461
1299,61.25,49.21,4.0028,24.51,25.0,4.1476
1300,61.29,49.33,3.9996,24.51,25.0,4.1492
1301,61.34,49.21,4.0075,24.51,25.0,4.1413
1302,61.4,49.3,3.9805,24.43,25.0,4.1429
1303,61.45,49.33,3.9821,24.75,25.0,4.1445
1304,61.49,49.26,3.9836,24.75,25.0,4.1461
1305,61.53,49.26,3.9852,24.67,25.0,4.1508
1306,61.57,49.23,3.9789,24.51,25.0,4.1413
1307,61.61,49.11,3.9836,24.75,25.0,4.1461
1308,61.66,49.18,3.9805,24.75,25.0,4.1476
1309,61.7,49.13,3.9805,24.59,25.0,4.1429
1310,61.74,49.11,3.9773,24.59,25.0,4.1461
1311,61.79,49.13,3.9821,24.59,25.0,4.1492
1312,61.83,49.16,4.0028,24.59,25.0,4.1508
1313,61.87,49.23,4.0059,24.99,25.0,4.1445
1314,61.91,49.21,3.9996,24.75,25.0,4.1445
1315,61.96,49.23,4.0028,24.67,25.0,4.1492
1316,62.0,49.23,4.0075,24.59,25.0,4.1445
1317,62.04,49.23,4.0028,24.67,25.0,4.1492
1318,62.08,49.26,4.0043,24.67,25.0,4.1429
1319,62.12,49.26,4.0028,24.75,25.0,4.1413
1320,62.17,49.28,3.9789,24.59,25.0,4.1461
1321,62.22,49.28,4.0075,24.43,25.0,4.1461
1322,62.26,49.28,4.0043,24.67,25.0,4.1492
1323,62.3,49.33,4.0043,24.59,25.0,4.1492
1324,62.34,49.35,4.0075,24.83,25.0,4.1476
1325,62.38,49.33,4.0059,24.51,25.0,4.1461
1326,62.43,49.33,3.9996,24.75,25.0,4.1445
1327,62.47,49.28,4.0028,24.59,25.0,4.1508
1328,62.51,49.3,3.9996,24.75,25.0,4.1429
1329,62.56,49.33,3.9805,24.67,25.0,4.1492
1330,62.6,49.28,3.9964,24.51,25.0,4.1508
1331,62.64,49.28,4.0028,24.75,25.0,4.1476
1332,62.68,49.23,3.9996,24.43,25.0,4.1476
1333,62.72,49.16,3.9964,24.59,25.0,4.1461
1334,62.77,49.11,4.0028,24.43,25.0,4.1445
1335,62.81,49.11,4.0059,24.59,25.0,4.1508
1336,62.85,49.16,4.0028,24.59,25.0,4.1476
1337,62.89,49.08,4.0043,24.75,25.0,4.1429
1338,62.94,49.21,3.9805,24.51,25.0,4.1445
1339,62.98,49.26,4.0043,24.75,25.0,4.1476
1340,63.02,49.23,3.9996,24.99,25.0,4.1429
1341,63.07,49.13,4.0059,24.51,25.0,4.1476
1342,63.11,49.18,4.0028,24.99,25.0,4.1476
1343,63.15,49.04,4.0075,24.67,25.0,4.1445
1344,63.19,48.99,4.0075,25.07,25.0,4.1492
1345,63.23,48.99,4.0028,24.75,25.0,4.1508
1346,63.28,48.94,4.0059,24.67,25.0,4.1476
1347,63.32,48.96,3.9789,24.59,25.0,4.1461
1348,63.37,49.04,4.0075,24.83,25.0,4.1476
1349,63.41,49.06,4.0059,24.59,25.0,4.1445
1350,63.45,48.91,4.0091,24.75,25.0,4.1429
1351,63.49,48.91,4.0028,24.59,25.0,4.1461
1352,63.53,48.86,4.0075,24.51,25.0,4.1476
1353,63.58,48.77,4.0028,24.67,25.0,4.1492
1354,63.62,48.67,3.9996,24.51,25.0,4.1492
1355,63.66,48.82,4.0043,24.43,25.0,4.1492
1356,63.71,48.89,4.0028,24.67,25.0,4.1429
1357,63.75,49.06,3.9773,24.75,25.0,4.1476
1358,63.79,49.16,3.9996,24.36,25.0,4.1461
1359,63.83,49.23,4.0043,24.75,25.0,4.1461
1360,63.88,49.21,4.0059,24.59,25.0,4.1461
1361,63.92,49.26,4.0043,24.67,25.0,4.1476
1362,63.96,49.13,4.0043,24.59,25.0,4.1429
1363,64.0,49.33,4.0043,24.75,25.0,4.1461
1364,64.04,49.35,4.0012,24.75,25.0,4.1476
1365,64.09,49.43,4.0091,24.75,25.0,4.1461
1366,64.13,49.47,3.9868,24.51,25.0,4.1476
1367,64.18,49.45,4.0043,24.59,25.0,4.1476
1368,64.22,49.47,4.0043,24.43,25.0,4.1429
1369,64.26,49.47,4.0091,24.59,25.0,4.1492
1370,64.3,49.5,4.0075,24.59,25.0,4.1413
1371,64.34,49.5,3.998,24.75,25.0,4.1476
1372,64.39,49.55,4.0059,24.67,25.0,4.1508
1373,64.43,49.55,4.0028,24.75,25.1,4.1476
1374,64.47,49.52,4.0091,24.59,25.0,4.1476
1375,64.52,49.57,3.9789,24.67,25.0,4.1461
1376,64.56,49.6,4.0012,24.83,25.0,4.1492
1377,64.6,49.67,4.0043,24.59,25.0,4.1492
1378,64.64,49.69,4.0012,24.51,25.0,4.1492
1379,64.69,49.77,4.0028,24.83,25.0,4.1476
1380,64.73,49.82,4.0012,24.51,25.0,4.1461
1381,64.77,49.74,4.0012,24.67,25.0,4.1445
1382,64.81,49.84,4.0059,24.67,25.0,4.1461
1383,64.85,49.74,3.9964,24.67,25.0,4.1445
1384,64.9,49.87,3.9836,24.59,25.0,4.1461
1385,64.94,49.79,4.0028,24.83,25.0,4.1461
1386,64.99,49.77,3.9964,24.67,25.1,4.1508
1387,65.03,49.84,4.0043,24.75,25.1,4.1461
1388,65.07,49.79,4.0012,24.59,25.0,4.1508
1389,65.11,49.87,4.0091,24.36,25.0,4.1492
1390,65.15,49.87,4.0059,24.59,25.0,4.1461
1391,65.2,49.82,4.0075,24.83,25.0,4.1445
1392,65.24,49.77,4.0059,24.59,25.1,4.1476
1393,65.29,49.79,3.9821,24.75,25.0,4.154
1394,65.33,49.84,4.0028,24.51,25.1,4.1476
1395,65.37,49.82,4.0091,24.59,25.1,4.1492
1396,65.43,49.77,3.9741,24.28,25.0,4.1461
1397,65.48,49.84,3.9805,24.59,25.0,4.1476
1398,65.52,49.72,3.9836,24.67,25.0,4.1492
1399,65.56,49.74,3.9836,24.59,25.1,4.1476
1400,65.6,49.77,3.9805,24.51,25.0,4.1476
1401,65.64,49.82,3.9789,24.75,25.1,4.1445
1402,65.69,49.74,3.9836,24.75,25.0,4.1476
1403,65.73,49.72,3.9996,24.67,25.1,4.1492
1404,65.78,49.87,4.0012,24.75,25.0,4.1524
1405,65.82,49.77,4.0043,24.67,25.0,4.1445
1406,65.86,49.79,4.0043,24.51,25.1,4.1492
1407,65.9,49.82,4.0059,24.83,25.1,4.1445
1408,65.94,49.87,4.0043,24.59,25.1,4.1445
1409,65.99,49.87,3.9996,24.51,25.1,4.1508
1410,66.03,49.82,4.0059,24.75,25.1,4.1445
1411,66.08,49.89,3.9805,24.04,25.0,4.1461
1412,66.12,49.87,4.0028,24.59,25.1,4.1508
1413,66.16,49.89,4.0043,24.67,25.1,4.1461
1414,66.2,49.89,3.9996,24.67,25.1,4.1476
1415,66.25,49.94,4.0059,24.51,25.1,4.1476
1416,66.29,49.99,4.0075,24.59,25.0,4.1461
1417,66.33,49.91,3.998,24.67,25.1,4.1429
1418,66.37,49.87,4.0043,24.43,25.0,4.1461
1419,66.41,49.99,4.0091,24.75,25.1,4.1476
1420,66.46,49.99,4.0107,24.75,25.1,4.1429
1421,66.5,50.01,3.9773,24.75,25.0,4.1492
1422,66.55,49.99,4.0043,24.36,25.1,4.1476
1423,66.59,50.09,3.9996,24.51,25.1,4.1508
1424,66.63,49.96,4.0059,24.59,25.1,4.1508
1425,66.67,49.96,3.998,24.75,25.1,4.1524
1426,66.71,49.84,4.0059,24.75,25.1,4.1461
1427,66.76,49.82,4.0043,24.43,25.1,4.1476
1428,66.8,49.96,4.0091,24.67,25.1,4.1461
1429,66.85,50.11,3.9996,24.43,25.1,4.1413
1430,66.89,50.11,3.9868,24.67,25.1,4.1476
1431,66.93,50.18,4.0012,24.75,25.0,4.1445
1432,66.97,50.18,4.0028,24.91,25.1,4.1476
1433,67.01,50.18,3.998,24.36,25.1,4.1492
1434,67.06,50.09,4.0139,24.59,25.0,4.1508
1435,67.1,50.16,4.0043,24.67,25.1,4.1492
1436,67.14,50.21,3.998,24.36,25.1,4.1476
1437,67.18,50.18,4.0043,24.51,25.1,4.1461
1438,67.22,50.18,4.0028,24.51,25.1,4.1429
1439,67.27,50.18,3.9757,24.67,25.1,4.1476
1440,67.31,50.16,4.0059,24.43,25.1,4.1476
1441,67.36,50.23,4.0075,24.91,25.1,4.1476
1442,67.4,50.11,4.0075,24.67,25.1,4.1476
1443,67.44,50.13,4.0043,24.67,25.0,4.1461
1444,67.48,50.11,4.0059,24.28,25.1,4.1476
1445,67.52,50.16,4.0028,24.51,25.1,4.1461
1446,67.57,50.09,4.0028,24.91,25.1,4.1492
1447,67.61,50.04,4.0028,24.51,25.1,4.1476
1448,67.66,50.13,3.9836,24.59,25.1,4.1461
1449,67.7,50.04,4.0028,24.43,25.1,4.1476
1450,67.74,50.13,4.0107,24.59,25.1,4.1508
1451,67.78,50.16,4.0043,24.59,25.1,4.1445
1452,67.82,50.16,4.0043,24.59,25.1,4.1429
1453,67.87,50.18,4.0012,24.59,25.1,4.1508
1454,67.91,50.16,4.0059,24.67,25.1,4.1508
1455,67.95,50.28,3.998,24.43,25.1,4.1461
1456,67.99,50.23,3.998,24.51,25.1,4.1461
1457,68.04,50.35,3.9836,24.59,25.1,4.1476
1458,68.08,50.18,4.0043,24.59,25.1,4.1461
1459,68.12,50.28,4.0059,24.51,25.1,4.1524
1460,68.17,50.33,4.0123,24.51,25.1,4.1429
1461,68.21,50.33,3.9996,24.67,25.1,4.1461
1462,68.25,50.31,4.0028,24.43,25.1,4.1445
1463,68.29,50.28,4.0012,24.75,25.1,4.1476
1464,68.33,50.4,4.0075,24.59,25.1,4.1461
1465,68.38,50.26,4.0075,24.67,25.1,4.1429
1466,68.42,50.33,3.9821,24.75,25.1,4.1508
1467,68.46,50.35,4.0075,24.67,25.1,4.1461
1468,68.51,50.35,4.0075,24.59,25.1,4.1476
1469,68.55,50.31,4.0012,24.43,25.1,4.1429
1470,68.59,50.35,3.998,24.43,25.1,4.1492
1471,68.63,50.33,4.0043,24.59,25.1,4.1476
1472,68.67,50.31,3.998,24.75,25.1,4.1445
1473,68.72,50.33,4.0043,24.83,25.1,4.1461
1474,68.76,50.23,4.0059,24.51,25.1,4.1508
1475,68.81,50.33,3.9836,24.36,25.1,4.1461
1476,68.85,50.28,4.0028,24.59,25.1,4.1508
1477,68.89,50.18,4.0043,24.51,25.1,4.1492
1478,68.93,49.87,3.9964,24.51,25.1,4.1476
1479,68.97,49.69,4.0043,24.43,25.1,4.1508
1480,69.02,49.57,4.0012,24.36,25.1,4.1429
1481,69.06,49.16,4.0091,24.59,25.1,4.1461
1482,69.1,48.35,4.0028,24.75,25.1,4.1461
1483,69.14,47.33,3.998,24.59,25.1,4.1476
1484,69.19,46.08,4.0012,24.67,25.1,4.1445
1485,69.23,45.32,3.9805,24.43,25.1,4.1492
1486,69.27,45.05,4.0075,24.51,25.1,4.1524
1487,69.32,44.96,4.0028,24.67,25.1,4.1508
1488,69.36,44.71,3.9964,24.59,25.1,4.1461
1489,69.4,44.3,4.0043,24.67,25.1,4.1476
1490,69.46,43.74,3.9805,24.04,25.1,4.1429
1491,69.51,43.39,3.9805,24.51,25.1,4.1429
1492,69.55,43.27,3.9868,24.51,25.1,4.1461
1493,69.6,43.17,3.9805,24.59,25.1,4.1429
1494,69.64,43.0,3.9821,24.51,25.1,4.154
1495,69.68,42.95,4.0075,24.43,25.1,4.1476
1496,69.72,42.78,4.0075,24.67,25.1,4.1461
1497,69.76,42.83,4.0012,24.67,25.1,4.1508
1498,69.81,42.91,4.0028,24.43,25.1,4.1445
1499,69.85,42.78,4.0059,24.67,25.1,4.1445
1500,69.89,42.71,3.9964,24.36,25.1,4.1492
1501,69.93,42.59,4.0075,24.59,25.1,4.1476
1502,69.97,42.61,4.0091,24.59,25.1,4.1429
1503,70.02,42.42,3.9757,24.59,25.1,4.1476
1504,70.06,42.49,4.0075,24.59,25.1,4.1492
1505,70.11,42.39,4.0059,24.51,25.1,4.1429
1506,70.15,42.44,4.0059,24.43,25.1,4.1461
1507,70.19,42.39,4.0091,24.43,25.1,4.1492
1508,70.23,42.44,4.0107,24.43,25.1,4.1492
1509,70.27,42.52,4.0012,24.51,25.1,4.1492
1510,70.32,42.39,4.0028,24.59,25.1,4.1461
1511,70.36,42.54,4.0059,24.59,25.1,4.1476
1512,70.41,42.54,3.9852,24.43,25.1,4.1476
1513,70.45,42.61,4.0059,24.67,25.1,4.1445
1514,70.49,42.61,4.0107,24.75,25.1,4.1429
1515,70.53,42.71,4.0075,24.59,25.1,4.1492
1516,70.57,42.71,4.0075,24.51,25.1,4.1476
1517,70.62,42.76,4.0028,24.67,25.1,4.1429
1518,70.66,42.81,4.0012,24.51,25.1,4.1445
1519,70.7,42.93,3.9996,24.59,25.1,4.1508
1520,70.74,42.98,4.0043,24.59,25.1,4.1429
1521,70.79,43.08,3.9805,24.43,25.1,4.1461
1522,70.83,43.03,3.9964,24.51,25.1,4.1461
1523,70.87,43.05,4.0043,24.43,25.1,4.1461
1524,70.92,43.05,3.998,24.43,25.1,4.1429
1525,70.96,43.08,3.9996,24.51,25.1,4.1508
1526,71.0,42.98,4.0043,24.43,25.1,4.1429
1527,71.04,42.98,4.0043,24.43,25.1,4.1476
1528,71.08,43.0,3.9996,24.75,25.1,4.1476
1529,71.13,43.0,4.0028,24.36,25.1,4.1461
1530,71.17,43.08,3.9789,24.67,25.1,4.1476
1531,71.22,43.1,3.9996,24.51,25.1,4.1461
1532,71.26,43.15,4.0028,24.51,25.1,4.1461
1533,71.3,43.22,4.0059,24.43,25.1,4.1508
1534,71.34,43.3,4.0091,24.75,25.1,4.1476
1535,71.38,43.44,4.0028,24.43,25.1,4.1445
1536,71.43,43.69,4.0028,24.67,25.1,4.1476
1537,71.47,43.57,4.0028,24.51,25.1,4.1476
1538,71.51,43.2,4.0075,24.67,25.1,4.1476
1539,71.56,43.08,3.9789,24.2,25.1,4.1445
1540,71.6,43.08,4.0107,24.59,25.1,4.1461
1541,71.64,42.88,4.0012,24.59,25.1,4.1461
1542,71.68,42.66,4.0059,24.43,25.1,4.1508
1543,71.73,42.32,4.0028,24.59,25.1,4.1461
1544,71.77,41.95,4.0059,24.59,25.1,4.1429
1545,71.81,41.73,4.0059,24.67,25.1,4.1476
1546,71.85,42.0,4.0075,24.67,25.1,4.1476
1547,71.89,43.03,3.9948,24.59,25.1,4.1445
1548,71.94,44.2,4.0012,24.67,25.1,4.1476
1549,71.98,45.79,3.9789,24.75,25.1,4.1476
1550,72.03,46.76,4.0075,24.51,25.1,4.1476
1551,72.07,47.47,4.0059,24.36,25.1,4.1445
1552,72.11,48.03,3.9996,24.75,25.1,4.1461
1553,72.15,48.33,4.0028,24.59,25.1,4.1429
1554,72.19,48.67,4.0043,24.36,25.1,4.1461
1555,72.24,48.82,4.0028,24.51,25.1,4.1508
1556,72.28,48.89,4.0028,24.59,25.1,4.1476
1557,72.33,49.11,4.0012,24.51,25.1,4.1461
1558,72.37,49.21,3.9805,24.43,25.1,4.1445
1559,72.41,49.21,4.0043,24.51,25.1,4.1492
1560,72.45,49.28,4.0091,24.36,25.1,4.1476
1561,72.49,49.43,4.0059,24.59,25.1,4.1476
1562,72.54,49.5,3.9996,24.36,25.1,4.1461
1563,72.58,49.52,4.0091,24.43,25.1,4.1461
1564,72.62,49.57,4.0043,24.75,25.1,4.1476
1565,72.66,49.6,4.0012,24.67,25.1,4.1476
1566,72.7,49.55,3.9996,24.36,25.1,4.1429
1567,72.75,49.62,3.9789,24.59,25.1,4.1492
1568,72.79,49.57,4.0075,24.51,25.1,4.1461
1569,72.84,49.55,4.0012,24.51,25.1,4.1476
1570,72.88,49.6,3.9964,24.51,25.1,4.1461
1571,72.92,49.65,3.998,24.43,25.1,4.1461
1572,72.96,49.57,4.0028,24.75,25.1,4.1508
1573,73.0,49.5,3.998,24.59,25.1,4.1461
1574,73.05,49.55,4.0028,24.36,25.1,4.1445
1575,73.09,49.52,4.0043,24.51,25.1,4.1445
1576,73.14,49.45,3.9805,24.59,25.1,4.1492
1577,73.18,49.43,4.0059,24.59,25.1,4.154
1578,73.22,49.35,4.0028,24.67,25.1,4.1461
1579,73.26,49.35,4.0059,24.59,25.1,4.1445
1580,73.3,49.4,4.0059,24.51,25.1,4.1445
1581,73.35,49.28,4.0059,24.43,25.1,4.1461
1582,73.39,49.33,4.0028,24.51,25.1,4.1461
1583,73.43,49.3,4.0059,24.59,25.1,4.1476
1584,73.49,49.23,3.9805,24.28,25.1,4.1492
1585,73.54,49.21,3.9852,24.36,25.1,4.1461
1586,73.58,49.11,3.9996,24.75,25.1,4.1492
1587,73.63,49.13,4.0059,24.43,25.1,4.1492
1588,73.67,49.11,4.0028,24.59,25.1,4.1476
1589,73.71,49.11,4.0059,24.59,25.1,4.1476
1590,73.75,49.18,3.998,24.67,25.1,4.1413
1591,73.79,49.18,3.998,24.51,25.1,4.1461
1592,73.84,49.08,3.9996,24.59,25.1,4.1445
1593,73.88,49.13,4.0059,24.51,25.1,4.1413
1594,73.93,49.16,3.9789,24.43,25.1,4.1445
1595,73.97,49.08,4.0028,24.51,25.1,4.1445
1596,74.01,49.08,3.9964,24.43,25.1,4.1492
1597,74.05,49.08,4.0012,24.67,25.1,4.1508
1598,74.1,48.86,4.0043,24.59,25.1,4.1445
1599,74.14,48.84,4.0059,24.43,25.1,4.1492
1600,74.18,48.67,3.998,24.51,25.1,4.1476
1601,74.22,48.62,4.0075,24.83,25.1,4.1476
1602,74.26,48.4,4.0028,24.75,25.1,4.1508
1603,74.31,48.21,3.9821,24.36,25.1,4.1461
1604,74.35,47.74,4.0043,24.43,25.1,4.1492
1605,74.4,47.28,4.0043,24.43,25.1,4.1445
1606,74.44,46.94,4.0075,24.59,25.1,4.1445
1607,74.48,47.11,4.0091,24.67,25.1,4.1476
1608,74.52,47.03,4.0043,24.51,25.1,4.1445
1609,74.56,47.01,4.0091,24.43,25.1,4.1476
1610,74.61,46.91,4.0107,24.67,25.1,4.1461
1611,74.65,46.74,3.998,24.36,25.1,4.1476
1612,74.7,46.52,4.0059,24.51,25.1,4.1397
1613,74.74,46.2,3.9836,24.67,25.1,4.1476
1614,74.78,45.98,4.0012,24.51,25.1,4.1476
1615,74.82,45.74,4.0012,24.75,25.1,4.1492
1616,74.86,45.37,4.0028,24.28,25.1,4.1508
1617,74.9,45.13,4.0091,24.59,25.1,4.1445
1618,74.95,44.86,4.0028,24.51,25.1,4.1476
1619,74.99,44.59,4.0075,24.59,25.1,4.1492
1620,75.03,44.4,3.9996,24.59,25.1,4.1476
