,Time [s],Light,USB,TMP36 [C],TC [C],Batt [V]
113,10.38,46.18,3.9836,23.32,24.3,4.1476
114,10.42,46.03,3.9996,23.4,24.3,4.1492
115,10.46,46.15,4.0012,23.4,24.3,4.1492
116,10.5,46.18,4.0043,23.24,24.3,4.1524
117,10.55,46.11,4.0075,23.16,24.3,4.1461
118,10.59,46.15,3.998,23.16,24.3,4.1476
119,10.63,46.11,3.9996,23.16,24.3,4.1492
120,10.67,46.15,4.0012,23.32,24.3,4.1476
121,10.71,46.01,4.0043,23.48,24.3,4.1492
122,10.76,45.91,3.9789,23.4,24.3,4.1508
123,10.8,45.89,4.0012,23.32,24.3,4.1461
124,10.85,46.01,4.0028,23.56,24.3,4.1461
125,10.89,46.06,3.998,23.56,24.3,4.1508
126,10.93,46.13,4.0028,23.32,24.3,4.1476
127,10.97,46.25,4.0043,23.4,24.3,4.1461
128,11.01,46.28,4.0043,23.48,24.3,4.1445
129,11.06,46.42,3.9996,23.32,24.3,4.1461
130,11.1,46.62,4.0028,23.4,24.3,4.1476
131,11.15,46.69,3.9821,23.16,24.3,4.1492
132,11.19,46.79,4.0091,23.56,24.3,4.1492
133,11.23,46.79,4.0091,23.88,24.3,4.1492
134,11.27,46.76,3.998,23.64,24.3,4.1476
135,11.31,46.62,4.0028,23.64,24.3,4.1508
136,11.36,46.64,4.0059,23.72,24.3,4.1445
137,11.4,46.72,4.0059,23.56,24.3,4.1508
138,11.44,46.74,4.0059,23.64,24.3,4.1492
139,11.48,46.72,4.0028,23.96,24.3,4.1461
140,11.53,46.79,4.0028,23.56,24.3,4.1476
141,11.57,46.81,3.9805,23.72,24.3,4.1429
142,11.61,46.79,4.0028,23.96,24.3,4.1461
143,11.66,46.79,4.0059,23.96,24.3,4.1461
144,11.7,46.89,4.0043,23.88,24.4,4.1492
145,11.74,46.89,4.0043,23.64,24.4,4.1461
146,11.78,46.91,3.998,23.88,24.4,4.1476
147,11.82,46.89,3.9996,23.88,24.4,4.1492
148,11.87,46.94,3.9996,23.96,24.4,4.1461
149,11.91,46.96,3.9964,23.8,24.4,4.1445
150,11.95,46.91,3.9805,23.72,24.4,4.1445
151,12.0,46.91,3.9996,23.88,24.4,4.1461
152,12.04,46.94,4.0043,23.8,24.4,4.1429
153,12.08,46.86,4.0075,23.8,24.4,4.1476
154,12.12,46.94,3.998,23.8,24.4,4.1445
155,12.16,46.86,4.0043,24.12,24.4,4.1476
156,12.21,46.84,4.0059,23.88,24.4,4.1476
157,12.25,46.94,3.9964,24.04,24.4,4.1524
158,12.29,46.94,4.0059,23.88,24.4,4.1476
159,12.34,46.94,3.9773,24.28,24.4,4.1445
